"Datasets 1544 of 2067","Tissue","Disease","Assay","Organism","Cells",""
"Single-nucleus transcriptome data from the dlPFC: Human Molecular and cellular evolution of the primate dorsolateral prefrontal cortex","dorsolateral prefrontal cortex","normal","10x 3' v3","Homo sapiens","172,120","Download Explore"
"Human kidney cortex snATAC-seq data from donors with and without diabetic kidney disease Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression","cortex of kidney","normal type 2 diabetes mellitus","10x scATAC-seq","Homo sapiens","37,747","Download Explore"
"Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression","cortex of kidney","normal type 2 diabetes mellitus","10x 3' v3 10x 5' v1","Homo sapiens","39,176","Download Explore"
"Single-soma transcriptomics of tangle-bearing neurons in Alzheimer’s disease - Inhibitory Single-soma transcriptomics of tangle-bearing neurons in Alzheimer’s disease","prefrontal cortex","Alzheimer disease normal","10x 3' v2 10x 3' v3","Homo sapiens","23,197","Download Explore"
"Single-soma transcriptomics of tangle-bearing neurons in Alzheimer’s disease - Excitatory Single-soma transcriptomics of tangle-bearing neurons in Alzheimer’s disease","prefrontal cortex","Alzheimer disease normal","10x 3' v2 10x 3' v3","Homo sapiens","96,129","Download Explore"
"Extended GBmap Harmonized single-cell landscape, intercellular crosstalk and tumor architecture of glioblastoma","15 tissues","glioblastoma","9 assays","Homo sapiens","1,135,677","Download Explore"
"Core GBmap Harmonized single-cell landscape, intercellular crosstalk and tumor architecture of glioblastoma","11 tissues","glioblastoma","8 assays","Homo sapiens","338,564","Download Explore"
"All-snATAC-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction normal","10x scATAC-seq","Homo sapiens","46,086","Download Explore"
"RZ_BZ_P3 (10X0026)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"GT_IZ_P9 (ACH0012)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Ischemia-snRNA-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","10x 3' v3","Homo sapiens","19,722","Download Explore"
"RZ_P3 (10X0020)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"control_P17 (ACH002)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"IZ_P16 (ACH0016)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"GT_IZ_P13 (ACH0010)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"FZ_GT_P19 (ACH008)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"IZ_P3 (10X0017)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"FZ_GT_P4 (10X009)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"RZ_P9 (ACH0023)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"RZ_FZ_P5 (10X0027)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"control_P8 (ACH004)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"RZ_P11 (ACH0019)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"FZ_P18 (ACH006)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"control_P1 (10X001)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"FZ_P14 (ACH005)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"IZ_P10 (ACH0014)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"IZ_BZ_P2 (10X0018)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"control_P7 (ACH003)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"GT_IZ_P15 (ACH0011)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"RZ_GT_P2 (ACH0028)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"FZ_P20 (ACH007)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"GT_IZ_P9_rep2 (ACH0013)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"All-snRNA-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction normal","10x 3' v3","Homo sapiens","191,795","Download Explore"
"RZ_P6 (ACH0021)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"RZ_BZ_P2 (10X0025)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"RZ_BZ_P12 (ACH0024)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"IZ_P15 (ACH0015)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"RZ_P6 (ACH0022)-Spatial multi-omic map of human myocardial infarction Spatial multi-omic map of human myocardial infarction","heart left ventricle","myocardial infarction","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"DCM/ACM heart cell atlas: Endothelial cells Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies","4 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","115,548","Download Explore"
"DCM/ACM heart cell atlas: Neuronal cells Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies","4 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","7,999","Download Explore"
"DCM/ACM heart cell atlas: Lymphoids Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies","4 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","16,878","Download Explore"
"DCM/ACM heart cell atlas: Mural cells Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies","4 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","170,281","Download Explore"
"DCM/ACM heart cell atlas: Adipocytes Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies","4 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","2,576","Download Explore"
"DCM/ACM heart cell atlas: Macrophages Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies","4 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","59,217","Download Explore"
"DCM/ACM heart cell atlas: All cells Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies","4 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","881,081","Download Explore"
"DCM/ACM heart cell atlas: Cardiomyocytes Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies","4 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","311,418","Download Explore"
"DCM/ACM heart cell atlas: Fibroblasts Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies","4 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","142,816","Download Explore"
"Adult ureter trio Single-cell and spatial mapping Identify cell types and signaling Networks in the human ureter","ureter ureter (organoid)","normal","10x 3' v3","Homo sapiens","13,161","Download Explore"
"Joint scRNA-seq and scATAC-seq atlas of the adult human retina Single-cell multiome of the human retina and deep learning nominate causal variants in complex eye diseases","retina","normal","10x multiome","Homo sapiens","51,645","Download Explore"
