"Datasets 1544 of 2067","Tissue","Disease","Assay","Organism","Cells",""
"Neural Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception","3 tissues","normal","10x 3' v3","Homo sapiens","9,286","Download Explore"
"Erythropoietic Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception","3 tissues","normal","10x 3' v3","Homo sapiens","36,639","Download Explore"
"Vascular_perivascular Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception","3 tissues","normal","10x 3' v3","Homo sapiens","7,155","Download Explore"
"human cHSPCs - Ultima Human circulating hematopoietic stem and progenitor cells in aging, cytopenia and MDS","blood","normal 3 diseases","10x 3' v3","Homo sapiens","516,121","Download Explore"
"A (Balanced) Bone Marrow Reference Map of Hematopoietic Development A Balanced Bone Marrow Reference Map of Hematopoietic Development","bone marrow","normal","10x 3' v2 10x 3' v3","Homo sapiens","263,159","Download Explore"
"Single cell atlas of LBCL (LME) Single cell atlas of large B-cell lymphoma","lymph node","B-cell non-Hodgkin lymphoma normal","10x multiome","Homo sapiens","598,289","Download Explore"
"Human lymph nodes with partial T and B cell depletion LNCS: Atlas of healthy human lymph nodes with and without ex vivo adjuvant stimulation","cystic lymph node","normal","10x 3' v3","Homo sapiens","77,525","Download Explore"
"Human lymph node slices cultured with and without ex vivo stimulation by liposomal TLR4 and QS-21 adjuvant LNCS: Atlas of healthy human lymph nodes with and without ex vivo adjuvant stimulation","cystic lymph node","normal","10x 3' v3","Homo sapiens","109,297","Download Explore"
"human cHSPCs - Illumina Human circulating hematopoietic stem and progenitor cells in aging, cytopenia and MDS","blood","normal 3 diseases","10x 3' v3","Homo sapiens","495,763","Download Explore"
"scRNA-seq of human ocular surface: cornea, limbus, sclera - all cells Single cell atlas of the human ocular surface","8 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","577,857","Download Explore"
"scRNA-seq of human ocular surface: cornea, limbus, sclera - epithelial cells Single cell atlas of the human ocular surface","7 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","250,321","Download Explore"
"Single nucleus transcriptomic atlas of human foetal tendon Single nucleus transcriptomic atlas of human foetal tendon","calcaneal tendon tendon of quadriceps femoris","normal","10x 3' v3","Homo sapiens","91,859","Download Explore"
"snRNA-seq of human kidney with ureteral obstruction snRNA-seq of human kidney with ureteral obstruction","kidney","normal obstructive nephropathy","10x multiome","Homo sapiens","46,957","Download Explore"
"snRNA-seq of human optic nerve and optic nerve head - all cells Single cell atlas of the human optic nerve","cranial nerve II optic disc","normal","10x 3' v3","Homo sapiens","959,629","Download Explore"
"snRNA-seq of human optic nerve and optic nerve head - fibroblasts Single cell atlas of the human optic nerve","cranial nerve II optic disc","normal","10x 3' v3","Homo sapiens","118,925","Download Explore"
"snRNA-seq of human optic nerve and optic nerve head - endothelial cells Single cell atlas of the human optic nerve","cranial nerve II optic disc","normal","10x 3' v3","Homo sapiens","34,934","Download Explore"
"snRNA-seq of human optic nerve and optic nerve head - astrocytes Single cell atlas of the human optic nerve","cranial nerve II optic disc","normal","10x 3' v3","Homo sapiens","273,711","Download Explore"
"snRNA-seq of human optic nerve and optic nerve head - oligodendrocytes Single cell atlas of the human optic nerve","cranial nerve II optic disc","normal","10x 3' v3","Homo sapiens","278,040","Download Explore"
"snRNA-seq of human of the human retinal pigment epithelium and the choroid - fetal data included Single cell atlas of the human retinal pigment epithelium and the choroid","chorioretinal region","normal","10x 3' v3 10x 5' v2","Homo sapiens","851,993","Download Explore"
"scRNA-seq of human of the human retinal pigment epithelium and the choroid Single cell atlas of the human retinal pigment epithelium and the choroid","4 tissues","normal","3 assays","Homo sapiens","182,151","Download Explore"
"scRNA-seq of human ocular surface: cornea, limbus, sclera – fetal data included Single cell atlas of the human ocular surface","8 tissues","normal","3 assays","Homo sapiens","815,769","Download Explore"
"snRNA-seq of human ocular surface: cornea, limbus, sclera Single cell atlas of the human ocular surface","3 tissues","normal","10x 3' v3","Homo sapiens","147,484","Download Explore"
"scRNA-seq of human ocular anterior segment: trabecular meshwork and ciliary body Single cell atlas of the human trabecular meshwork and ciliary body","ciliary body eye trabecular meshwork","normal","3 assays","Homo sapiens","332,995","Download Explore"
"snRNA-seq of human ocular anterior segment: trabecular meshwork and ciliary body Single cell atlas of the human trabecular meshwork and ciliary body","3 tissues","normal","10x 3' v3","Homo sapiens","1,102,250","Download Explore"
"human intestine organoid cell atlas Integrated human endoderm-derived organoids cell atlas (HEOCA)","4 tissues","normal","5 assays","Homo sapiens","353,140","Download Explore"
"human endoderm organoid cell atlas Integrated human endoderm-derived organoids cell atlas (HEOCA)","21 tissues","normal","8 assays","Homo sapiens","806,646","Download Explore"
"snRNA-seq of Macrophages in high-risk Neuroblastoma before and after chemotherapy HTAN CHOP - Longitudinal single-cell multiomic atlas of high-risk neuroblastoma reveals chemotherapy-induced tumor microenvironment rewiring","7 tissues","neuroblastoma","10x 3' v3","Homo sapiens","14,344","Download Explore"
"human lung organoid cell atlas Integrated human endoderm-derived organoids cell atlas (HEOCA)","5 tissues","normal","3 assays","Homo sapiens","221,425","Download Explore"
"snRNA-seq of all cells in high-risk Neuroblastoma before and after chemotherapy HTAN CHOP - Longitudinal single-cell multiomic atlas of high-risk neuroblastoma reveals chemotherapy-induced tumor microenvironment rewiring","7 tissues","neuroblastoma","10x 3' v3","Homo sapiens","372,619","Download Explore"
"snRNA-seq of neoplastic cells in high-risk Neuroblastoma before and after chemotherapy HTAN CHOP - Longitudinal single-cell multiomic atlas of high-risk neuroblastoma reveals chemotherapy-induced tumor microenvironment rewiring","7 tissues","neuroblastoma","10x 3' v3","Homo sapiens","205,153","Download Explore"
"AIDA Phase 1 Data Freeze v1: Chinese, Indian, Japanese, Korean, and Malay donors in Japan, Singapore, and South Korea Asian Immune Diversity Atlas (AIDA)","blood","normal","10x 5' v2","Homo sapiens","1,058,909","Download Explore"
"AIDA Phase 1 Data Freeze v2: Chinese, Indian, Japanese, Korean, Malay, and Thai donors in Japan, Singapore, South Korea, Thailand, and India Asian Immune Diversity Atlas (AIDA)","blood","normal","10x 5' v2","Homo sapiens","1,265,624","Download Explore"
"Human HYPOMAP single-nucleus data HYPOMAP: A comprehensive spatio-cellularmap of the human hypothalamus","hypothalamus","normal","10x 3' v3","Homo sapiens","433,369","Download Explore"
"multimodal benchmarking dataset for renal cortex characterization Multimodal benchmarking dataset for renal cortex characterization (mBDRC)","cortex of kidney","normal","3 assays","Homo sapiens","97,125","Download Explore"
"multimodal benchmarking dataset for renal cortex characterization - multiome only (fragment files included) Multimodal benchmarking dataset for renal cortex characterization (mBDRC)","cortex of kidney","normal","10x multiome","Homo sapiens","37,717","Download Explore"
"Postnatal human brain development: RNA Simultaneous profiling of transcription and chromatin accessibility at the single-cell level for postnatal human brain development","4 tissues","normal","10x multiome","Homo sapiens","101,924","Download Explore"
"All cells from human cardiac tissue with myocarditis and healthy controls The cellular and molecular cardiac tissue responses in human inflammatory cardiomyopathies after SARS-CoV-2 infection and COVID-19 vaccination","apex of heart heart left ventricle","myocarditis normal","10x 3' v2 10x 3' v3","Homo sapiens","205,596","Download Explore"
"Myeloid cells from human cardiac tissue with myocarditis and healthy controls The cellular and molecular cardiac tissue responses in human inflammatory cardiomyopathies after SARS-CoV-2 infection and COVID-19 vaccination","apex of heart heart left ventricle","myocarditis normal","10x 3' v2 10x 3' v3","Homo sapiens","10,363","Download Explore"
"Fibroblasts from human cardiac tissue with myocarditis and healthy controls The cellular and molecular cardiac tissue responses in human inflammatory cardiomyopathies after SARS-CoV-2 infection and COVID-19 vaccination","apex of heart heart left ventricle","myocarditis normal","10x 3' v2 10x 3' v3","Homo sapiens","26,027","Download Explore"
"Vascular associated cells from human cardiac tissue with myocarditis and healthy controls The cellular and molecular cardiac tissue responses in human inflammatory cardiomyopathies after SARS-CoV-2 infection and COVID-19 vaccination","apex of heart heart left ventricle","myocarditis normal","10x 3' v2 10x 3' v3","Homo sapiens","58,054","Download Explore"
"Lymphocytes from human cardiac tissue with myocarditis and healthy controls The cellular and molecular cardiac tissue responses in human inflammatory cardiomyopathies after SARS-CoV-2 infection and COVID-19 vaccination","apex of heart heart left ventricle","myocarditis normal","10x 3' v2 10x 3' v3","Homo sapiens","4,016","Download Explore"
"Cardiomyocytes from human cardiac tissue with myocarditis and healthy controls The cellular and molecular cardiac tissue responses in human inflammatory cardiomyopathies after SARS-CoV-2 infection and COVID-19 vaccination","apex of heart heart left ventricle","myocarditis normal","10x 3' v2 10x 3' v3","Homo sapiens","90,273","Download Explore"
"Bronchopulmonary dysplasia Bronchopulmonary Dysplasia","middle lobe of right lung","bronchopulmonary dysplasia normal","10x 3' v3","Homo sapiens","271,381","Download Explore"
"snRNA-seq of human visceral adipose tissue - adipocytes SCT normalization Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","visceral fat","normal","10x 3' v3","Homo sapiens","14,213","Download Explore"
"Differentiation path from ASPCs to adipocytes in subcutaneous adipose tissue double filtration (Scrublet & DoubletFinder) pipeline Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","subcutaneous adipose tissue","normal","10x 3' v3","Homo sapiens","21,225","Download Explore"
"Differentiation path from ASPCs to adipocytes in subcutaneous adipose tissue Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","subcutaneous adipose tissue","normal","10x 3' v3","Homo sapiens","22,227","Download Explore"
"snRNA-seq of human visceral adipose tissue - all cells Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","visceral fat","normal","10x 3' v3","Homo sapiens","83,731","Download Explore"
"snRNA-seq of human subcutaneous adipose tissue - adipocytes integrated with emont et al Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","subcutaneous abdominal adipose tissue subcutaneous adipose tissue","normal","10x 3' v3","Homo sapiens","26,601","Download Explore"
"snRNA-seq of human subcutaneous adipose tissue - adipocytes Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","subcutaneous adipose tissue","normal","10x 3' v3","Homo sapiens","12,205","Download Explore"
"Differentiation path from ASPCs to adipocytes in visceral adipose tissue double filtration (Scrublet & DoubletFinder) pipeline Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","visceral fat","normal","10x 3' v3","Homo sapiens","29,078","Download Explore"
"snRNA-seq of human visceral adipose tissue - adipocytes integrated with emont et al Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","visceral abdominal adipose tissue visceral fat","normal","10x 3' v3","Homo sapiens","26,935","Download Explore"
"Differentiation path from ASPCs to adipocytes in visceral adipose tissue Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","visceral fat","normal","10x 3' v3","Homo sapiens","30,969","Download Explore"
"snRNA-seq of human visceral adipose tissue - adipocytes Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","visceral fat","normal","10x 3' v3","Homo sapiens","15,460","Download Explore"
"snRNA-seq of human subcutaneous adipose tissue - all cells Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","subcutaneous adipose tissue","normal","10x 3' v3","Homo sapiens","37,879","Download Explore"
"snRNA-seq of human adipose tissue - adipocytes from subcutaneous and visceral adipose integrated Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","subcutaneous adipose tissue visceral fat","normal","10x 3' v3","Homo sapiens","27,665","Download Explore"
"snRNA-seq of human subcutaneous adipose tissue - adipocytes double filtration (Scrublet & DoubletFinder) pipeline Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","subcutaneous adipose tissue","normal","10x 3' v3","Homo sapiens","11,272","Download Explore"
"snRNA-seq of human visceral adipose tissue - adipocytes double filtration (Scrublet & DoubletFinder) pipeline Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns","visceral fat","normal","10x 3' v3","Homo sapiens","13,964","Download Explore"
